225,at,8
782,ultricies,7
90,nostra,9
738,et,9
959,eros,9
537,blandit,1
87,eu,2
549,auctor,8
207,parturient,10
112,ultrices,4
842,risus,1
128,dictum,4
985,justo,7
717,tincidunt,3
198,risus.,8
493,cursus,3
543,amet,7
630,dolor,1
978,ac,3
708,sagittis,4
491,sit,2
146,mattis,2
956,lectus,10
301,libero,9
208,malesuada,10
280,Maecenas,9
832,Pellentesque,1
367,augue,8
216,scelerisque,1
13,non,9
985,at,4
748,euismod,7
110,Quisque,10
586,tortor.,6
160,auctor,2
783,sed,4
326,ligula.,7
184,consequat,2
673,Cum,6
540,lorem,4
706,neque.,6
401,Nunc,2
328,non,3
946,non,4
597,libero.,9
629,eu,8
277,mollis,10
428,nec,7
159,malesuada,7
122,ante,7
704,lacinia,4
393,fringilla,4
288,Cum,4
342,mauris,5
487,maurisa,10
77,gravida,2
873,ullamcorper.,3
790,lacus,6
728,nisl,8
893,Fusce,6
585,vel,7
767,id,8
844,vitae,7
239,vulputate,2
109,porttitor,10
731,metus.,8
748,erat,8
346,lobortis,1
621,maurise,1
6,in,5
471,gravida,6
992,In,4
241,Nullam,4
791,consequat,7
433,Sed,2
930,rhoncus,8
28,vitae,8
469,montes,7
348,enim.,4
818,egestas.,5
953,rutrum,2
174,eget,1
53,sed,9
41,egestas.,7
391,interdum,4
44,nisl,6
884,eget,9
368,faucibus,9
921,erat.,1
104,imperdiet,1
742,ultrices,4
404,ac,5
875,ultrices,3
851,semper,1
313,ornare,10
33,tincidunt,1
752,pede.,6
175,neque,7
843,id,4
395,tellus,3
